start,end,latitude,longitude,type,rfmos.0,rfmos.1,rfmos.2,rfmos.3,eezs.0,vessel.name,vessel.flag,vessel.ssvid,loitering.totalTimeHours,loitering.totalDistanceKilometers,loitering.medianSpeedKnots,eezs.1
2017-01-13T04:52:44.000Z,2017-01-14T15:47:08.000Z,1.602360833,-1.921538333,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,BALTIC HEATHER,LBR,636015904,34.907,67.724,1.048,
2017-01-14T03:55:29.000Z,2017-01-14T12:11:20.000Z,4.285655,-0.8945475,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,VOLTA GLORY,GHA,627047000,8.264,18.336,1.198,
2017-01-14T14:38:32.000Z,2017-01-14T18:24:40.000Z,4.261209167,-0.7285125,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,VOLTA GLORY,GHA,627047000,3.769,2.404,0.344,
2017-01-15T09:59:46.000Z,2017-01-15T21:57:06.000Z,2.789979167,1.121789167,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,FRIO ATHENS,PAN,353982000,11.956,11.217,0.507,
2017-01-15T23:35:57.000Z,2017-01-19T16:36:59.000Z,2.66493,1.778295833,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,FRIO ATHENS,PAN,353982000,89.017,181.621,1.102,
2017-01-24T04:57:24.000Z,2017-01-24T09:55:11.000Z,3.833716667,-1.9892,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,GREEN BODO,BHS,311009500,4.963,15.213,1.655,
2017-01-31T02:59:41.000Z,2017-02-01T01:49:25.000Z,4.1217,-0.121233333,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,YUN RUN,KIR,529567000,22.829,68.597,1.622,
2017-02-02T08:43:47.000Z,2017-02-02T16:44:27.000Z,5.162766667,0.236568333,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,GREEN COSTA RICA,BHS,309689000,8.011,11.716,0.79,
2017-02-02T09:57:05.000Z,2017-02-02T13:55:26.000Z,4.490715,-0.67298,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,M/V VOLTA VICTORY,GHA,627084000,3.973,1.16,0.158,
2017-02-03T07:48:28.000Z,2017-02-03T12:37:53.000Z,4.2018075,-1.469893333,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,VOLTA GLORY,GHA,627047000,4.824,7.461,0.835,
2017-02-06T06:07:01.000Z,2017-02-06T19:09:47.000Z,3.164025,1.523325,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,FRIO SHINANO,PAN,352349000,13.046,31.37,1.298,
2017-02-08T07:46:38.000Z,2017-02-08T21:55:07.000Z,3.294608333,1.565133333,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,FRIO SHINANO,PAN,352349000,14.141,29.594,1.13,
2017-02-09T21:55:38.000Z,2017-02-10T00:13:56.000Z,3.862810833,-2.34235,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,SOLARTE,COM,616885000,2.305,2.839,0.665,
