"start","end","latitude","longitude","type","rfmos.0","rfmos.1","rfmos.2","rfmos.3","eezs.0","vessel.name","vessel.flag","vessel.ssvid","loitering.totalTimeHours","loitering.totalDistanceKilometers","loitering.medianSpeedKnots","eezs.1"
"2020-07-04T01:57:44.000Z","2020-07-04T06:28:04.000Z",3.2508933333,-3.12794666665,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","ORANGE SPIRIT","BHS","311000712","4.506","7.681","0.921",
"2020-07-04T02:47:03.000Z","2020-07-04T21:46:10.000Z",1.7907066667,-3.20404,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","AVUNDA REEFER","PAN","352351000","18.985","49.103","1.397",
"2020-07-04T08:58:56.000Z","2020-07-04T10:58:07.000Z",3.10516666665,-2.8998616667,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","ORANGE SPIRIT","BHS","311000712","1.986","6.117","1.663",
"2020-07-05T23:43:31.000Z","2020-07-06T01:58:20.000Z",4.06558,0.1005,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","GREEN OCEAN","BHS","308228000","2.247","8.159","1.961",
"2020-07-06T05:28:53.000Z","2020-07-06T12:43:33.000Z",4.11282666665,0.36824,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","GREEN OCEAN","BHS","308228000","7.244","26.064","1.943",
"2020-07-06T19:42:19.000Z","2020-07-07T18:49:37.000Z",3.93575,0.06808333335,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","GREEN OCEAN","BHS","308228000","23.122","63.529","1.484",
"2020-07-06T21:58:44.000Z","2020-07-07T00:58:32.000Z",5.37846833335,0.4568758333,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","COLOMBIAN STAR","LBR","636014240","2.997","7.451","1.343",
"2020-07-15T11:51:15.000Z","2020-07-15T15:55:38.000Z",2.80408333335,1.98466333335,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","WATER PHOENIX","LBR","636018501","4.073","5.993","0.794",
"2020-07-15T12:59:42.000Z","2020-07-15T14:59:05.000Z",4.31966666665,-2.14590666665,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","STAR LEADER","SGP","566042000","1.99","6.009","1.631",
"2020-07-20T06:27:08.000Z","2020-07-20T07:31:43.000Z",3.60254666665,1.39530666665,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","SIERRA KING","NLD","244542000","1.076","1.539","0.772",
